,Unnamed: 0,date,value,Next,Class
0,0,2022-09-19,1561.48,1562.5,1
1,1,2022-09-20,1562.5,1560.87,0
2,2,2022-09-21,1560.87,1558.74,0
3,3,2022-09-22,1558.74,1554.96,0
4,4,2022-09-23,1554.96,1551.05,0
5,5,2022-09-26,1551.05,1549.33,0
6,6,2022-09-27,1549.33,1546.48,0
7,7,2022-09-28,1546.48,1547.57,1
8,8,2022-09-29,1547.57,1546.1,0
9,9,2022-09-30,1546.1,1547.62,1
10,10,2022-10-03,1547.62,1550.78,1
11,11,2022-10-04,1550.78,1555.18,1
12,12,2022-10-05,1555.18,1554.29,0
13,13,2022-10-06,1554.29,1552.51,0
14,14,2022-10-07,1552.51,1551.4,0
15,15,2022-10-10,1551.4,1549.59,0
16,16,2022-10-11,1549.59,1549.43,0
17,17,2022-10-12,1549.43,1549.86,1
18,18,2022-10-13,1549.86,1549.02,0
19,19,2022-10-14,1549.02,1545.98,0
20,20,2022-10-17,1545.98,1546.85,1
21,21,2022-10-18,1546.85,1545.28,0
22,22,2022-10-19,1545.28,1541.38,0
23,23,2022-10-20,1541.38,1534.1,0
24,24,2022-10-21,1534.1,1534.21,1
25,25,2022-10-24,1534.21,1533.0,0
26,26,2022-10-25,1533.0,1532.69,0
27,27,2022-10-26,1532.69,1534.91,1
28,28,2022-10-27,1534.91,1536.93,1
29,29,2022-10-28,1536.93,1537.01,1
30,30,2022-10-31,1537.01,1540.56,1
31,31,2022-11-01,1540.56,1545.44,1
32,32,2022-11-02,1545.44,1543.92,0
33,33,2022-11-03,1543.92,1541.85,0
34,34,2022-11-04,1541.85,1543.08,1
35,35,2022-11-07,1543.08,1543.83,1
36,36,2022-11-08,1543.83,1546.59,1
37,37,2022-11-09,1546.59,1548.53,1
38,38,2022-11-10,1548.53,1555.37,1
39,39,2022-11-11,1555.37,1560.06,1
40,40,2022-11-14,1560.06,1565.09,1
41,41,2022-11-15,1565.09,1567.5,1
42,42,2022-11-16,1567.5,1567.48,0
43,43,2022-11-17,1567.48,1567.45,0
44,44,2022-11-18,1567.45,1566.64,0
45,45,2022-11-21,1566.64,1568.24,1
46,46,2022-11-22,1568.24,1572.84,1
47,47,2022-11-23,1572.84,1578.51,1
48,48,2022-11-24,1578.51,1580.23,1
49,49,2022-11-25,1580.23,1581.71,1
50,50,2022-11-28,1581.71,1583.26,1
51,51,2022-11-29,1583.26,1586.96,1
52,52,2022-11-30,1586.96,1594.52,1
53,53,2022-12-01,1594.52,1598.03,1
54,54,2022-12-02,1598.03,1596.11,0
55,55,2022-12-05,1596.11,1594.04,0
56,56,2022-12-06,1594.04,1591.78,0
57,57,2022-12-07,1591.78,1592.44,1
58,58,2022-12-08,1592.44,1593.7,1
59,59,2022-12-09,1593.7,1594.51,1
60,60,2022-12-12,1594.51,1594.23,0
61,61,2022-12-13,1594.23,1595.92,1
62,62,2022-12-14,1595.92,1596.42,1
63,63,2022-12-15,1596.42,1597.36,1
64,64,2022-12-16,1597.36,1598.5,1
65,65,2022-12-19,1598.5,,0
